DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE40,2010,2738,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE40,2011,2686,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE40,2012,2739,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE40,2013,2739,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE40,2014,2691,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE40,2015,2766,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE40,2016,2767,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE40,2017,2756,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE40,2018,2756,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE40,2019,2756,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE50,2010,164,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE50,2011,165,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE50,2012,165,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE50,2013,164,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE50,2014,163,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE50,2015,139,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE50,2016,141,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE50,2017,141,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE50,2018,141,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE50,2019,141,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE60,2010,296,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE60,2011,357,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE60,2012,352,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE60,2013,350,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE60,2014,347,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE60,2015,298,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE60,2016,298,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE60,2017,298,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE60,2018,298,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE60,2019,298,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE80,2010,1671,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE80,2011,1670,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE80,2012,1690,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE80,2013,1671,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE80,2014,1665,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE80,2015,1656,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE80,2016,1656,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE80,2017,1656,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE80,2018,1656,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE80,2019,1656,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEC0,2010,366,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEC0,2011,367,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEC0,2012,370,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEC0,2013,370,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEC0,2014,361,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEC0,2015,349,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEC0,2016,348,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEC0,2017,343,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEC0,2018,343,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEC0,2019,343,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEE0,2010,2213,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEE0,2011,2214,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEE0,2012,2199,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEE0,2013,2190,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEE0,2014,2190,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEE0,2015,2314,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEE0,2016,2404,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEE0,2017,2398,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEE0,2018,2397,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEE0,2019,2402,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEF0,2010,1268,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEF0,2011,1278,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEF0,2012,1278,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEF0,2013,1278,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEF0,2014,1277,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEF0,2015,1275,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEF0,2016,1275,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEF0,2017,1279,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEF0,2018,1279,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEF0,2019,1279,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEG0,2010,1596,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEG0,2011,1598,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEG0,2012,1598,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEG0,2013,1594,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEG0,2014,1594,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEG0,2015,1521,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEG0,2016,1562,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEG0,2017,1558,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEG0,2018,1630,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DEG0,2019,1630,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EE00,2010,919,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EE00,2011,918,
